RULETYPE,FROMFEATURECLASS,FROMASSETGROUP,FROMASSETTYPE,FROMTERMINAL,TOFEATURECLASS,TOASSETGROUP,TOASSETTYPE,TOTERMINAL,VIAFEATURECLASS,VIAASSETGROUP,VIAASSETTYPE,VIATERMINAL
Containment,StructureBoundary,Bóveda de tuberías,Bóveda,,StructureJunction,Acceso a tubería,Puerta,,,,,
Containment,StructureBoundary,Bóveda de tuberías,Bóveda,,StructureJunction,Acceso a tubería,Rejilla,,,,,
Containment,StructureBoundary,Bóveda de tuberías,Bóveda,,StructureJunction,Acceso a tubería,Orificio para revisiones,,,,,
Containment,StructureBoundary,Bóveda de tuberías,Bóveda,,StructureJunction,Acceso a tubería,Tapa,,,,,
Containment,StructureBoundary,Bóveda de tuberías,Bóveda,,StructureJunction,Acceso a tubería,Tapa de alcantarilla,,,,,
Containment,StructureBoundary,Bóveda de tuberías,Bóveda,,StructureJunction,Acceso a tubería,Se desconoce,,,,,
Containment,StructureBoundary,Bóveda de tuberías,Bóveda,,StructureJunction,Anclaje de tubería,Anclaje,,,,,
Containment,StructureBoundary,Bóveda de tuberías,Bóveda,,StructureJunction,Caja de tuberías,Blow Off,,,,,
Containment,StructureBoundary,Bóveda de tuberías,Bóveda,,StructureJunction,Caja de tuberías,Curb Box,,,,,
Containment,StructureBoundary,Bóveda de tuberías,Bóveda,,StructureJunction,Caja de tuberías,Curb Box with Stationary Rod,,,,,
Containment,StructureBoundary,Bóveda de tuberías,Bóveda,,StructureJunction,Caja de tuberías,Caja de medidores,,,,,
Containment,StructureBoundary,Bóveda de tuberías,Bóveda,,StructureJunction,Caja de tuberías,Calzada,,,,,
Containment,StructureBoundary,Bóveda de tuberías,Bóveda,,StructureJunction,Caja de tuberías,Se desconoce,,,,,
Containment,StructureBoundary,Bóveda de tuberías,Bóveda,,StructureJunction,Caja de tuberías,Caja de válvulas,,,,,
Containment,StructureBoundary,Bóveda de tuberías,Bóveda,,StructureJunction,Gancho de tubería,Muelle constante,,,,,
Containment,StructureBoundary,Bóveda de tuberías,Bóveda,,StructureJunction,Gancho de tubería,Rígido,,,,,
Containment,StructureBoundary,Bóveda de tuberías,Bóveda,,StructureJunction,Gancho de tubería,Muelle variable,,,,,
Containment,StructureBoundary,Bóveda de tuberías,Bóveda,,StructureJunction,Soporte de tubería,Soporte de tubería,,,,,
Containment,StructureBoundary,Bóveda de tuberías,Bóveda,,StructureJunction,Soporte de tubería,Rodillo,,,,,
Containment,StructureBoundary,Bóveda de tuberías,Bóveda,,StructureJunction,Bóveda de tuberías,Ventosa,,,,,
Containment,StructureBoundary,Bóveda de tuberías,Bóveda,,StructureJunction,Bóveda de tuberías,Registro,,,,,
Containment,StructureBoundary,Bóveda de tuberías,Bóveda,,StructureJunction,Bóveda de tuberías,Bóveda,,,,,
Containment,StructureBoundary,Bóveda de tuberías,Bóveda,,WaterAssembly,Vacío de aire y purga de aire,Vacío de aire y purga de aire,,,,,
Containment,StructureBoundary,Bóveda de tuberías,Bóveda,,WaterAssembly,Descarga,Automático,,,,,
Containment,StructureBoundary,Bóveda de tuberías,Bóveda,,WaterAssembly,Descarga,Manual,,,,,
Containment,StructureBoundary,Bóveda de tuberías,Bóveda,,WaterAssembly,Estación de contador,Estación de contador,,,,,
Containment,StructureBoundary,Bóveda de tuberías,Bóveda,,WaterAssembly,Estación de reducción de presión,Estación de reducción de presión,,,,,
Containment,StructureBoundary,Límite de estación de bombeo de agua,Estación de refuerzo,,WaterDevice,Filtro,Filtro,,,,,
Containment,StructureBoundary,Límite de estación de bombeo de agua,Estación de refuerzo,,WaterDevice,Válvula de flujo,Antirretorno,,,,,
Containment,StructureBoundary,Límite de estación de bombeo de agua,Estación de refuerzo,,WaterDevice,Bomba,Refuerzo,,,,,
Containment,StructureBoundary,Límite de estación de bombeo de agua,Estación de refuerzo,,WaterDevice,Válvula de servicio,Muestreo,,,,,
Containment,StructureBoundary,Límite de estación de bombeo de agua,Estación de refuerzo,,WaterDevice,Contador del sistema,Estación de bombeo,,,,,
Containment,StructureBoundary,Límite de estación de bombeo de agua,Estación de refuerzo,,WaterDevice,Válvula del sistema,Derivación,,,,,
Containment,StructureBoundary,Límite de estación de bombeo de agua,Estación de refuerzo,,WaterDevice,Válvula del sistema,Suministro,,,,,
Containment,StructureBoundary,Límite de estación de bombeo de agua,Estación de refuerzo,,WaterDevice,Válvula del sistema,Sistema,,,,,
Containment,StructureBoundary,Límite de estación de bombeo de agua,Estación de refuerzo,,WaterJunction,Nudo,Tope de tubería,,,,,
Containment,StructureBoundary,Límite de estación de bombeo de agua,Estación de refuerzo,,WaterJunction,Nudo,Acoplamiento,,,,,
Containment,StructureBoundary,Límite de estación de bombeo de agua,Estación de refuerzo,,WaterJunction,Nudo,Cruz,,,,,
Containment,StructureBoundary,Límite de estación de bombeo de agua,Estación de refuerzo,,WaterJunction,Nudo,Codo,,,,,
Containment,StructureBoundary,Límite de estación de bombeo de agua,Estación de refuerzo,,WaterJunction,Nudo,Tapa de extremo,,,,,
Containment,StructureBoundary,Límite de estación de bombeo de agua,Estación de refuerzo,,WaterJunction,Nudo,Junta de expansión,,,,,
Containment,StructureBoundary,Límite de estación de bombeo de agua,Estación de refuerzo,,WaterJunction,Nudo,Brida,,,,,
Containment,StructureBoundary,Límite de estación de bombeo de agua,Estación de refuerzo,,WaterJunction,Nudo,Tapón,,,,,
Containment,StructureBoundary,Límite de estación de bombeo de agua,Estación de refuerzo,,WaterJunction,Nudo,Reductor,,,,,
Containment,StructureBoundary,Límite de estación de bombeo de agua,Estación de refuerzo,,WaterJunction,Nudo,Cruz con reducción,,,,,
Containment,StructureBoundary,Límite de estación de bombeo de agua,Estación de refuerzo,,WaterJunction,Nudo,T con reducción,,,,,
Containment,StructureBoundary,Límite de estación de bombeo de agua,Estación de refuerzo,,WaterJunction,Nudo,Abrazadera,,,,,
Containment,StructureBoundary,Límite de estación de bombeo de agua,Estación de refuerzo,,WaterJunction,Nudo,Tornillo,,,,,
Containment,StructureBoundary,Límite de estación de bombeo de agua,Estación de refuerzo,,WaterJunction,Nudo,Manguito,,,,,
Containment,StructureBoundary,Límite de estación de bombeo de agua,Estación de refuerzo,,WaterJunction,Nudo,Toma,,,,,
Containment,StructureBoundary,Límite de estación de bombeo de agua,Estación de refuerzo,,WaterJunction,Nudo,Abrazadera para grifo,,,,,
Containment,StructureBoundary,Límite de estación de bombeo de agua,Estación de refuerzo,,WaterJunction,Nudo,T,,,,,
Containment,StructureBoundary,Límite de estación de bombeo de agua,Estación de refuerzo,,WaterJunction,Nudo,Transición,,,,,
Containment,StructureBoundary,Límite de estación de bombeo de agua,Estación de refuerzo,,WaterJunction,Nudo,Soldadura,,,,,
Containment,StructureBoundary,Límite de estación de bombeo de agua,Estación de refuerzo,,WaterJunction,Nudo,Y,,,,,
Containment,StructureBoundary,Límite de estación de bombeo de agua,Estación de bombeo,,WaterDevice,Filtro,Filtro,,,,,
Containment,StructureBoundary,Límite de estación de bombeo de agua,Estación de bombeo,,WaterDevice,Válvula de flujo,Antirretorno,,,,,
Containment,StructureBoundary,Límite de estación de bombeo de agua,Estación de bombeo,,WaterDevice,Bomba,Principal,,,,,
Containment,StructureBoundary,Límite de estación de bombeo de agua,Estación de bombeo,,WaterDevice,Válvula de servicio,Muestreo,,,,,
Containment,StructureBoundary,Límite de estación de bombeo de agua,Estación de bombeo,,WaterDevice,Estación,Estación de bombeo,,,,,
Containment,StructureBoundary,Límite de estación de bombeo de agua,Estación de bombeo,,WaterDevice,Contador del sistema,Estación de bombeo,,,,,
Containment,StructureBoundary,Límite de estación de bombeo de agua,Estación de bombeo,,WaterDevice,Válvula del sistema,Derivación,,,,,
Containment,StructureBoundary,Límite de estación de bombeo de agua,Estación de bombeo,,WaterDevice,Válvula del sistema,Suministro,,,,,
Containment,StructureBoundary,Límite de estación de bombeo de agua,Estación de bombeo,,WaterDevice,Válvula del sistema,Sistema,,,,,
Containment,StructureBoundary,Límite de estación de bombeo de agua,Estación de bombeo,,WaterJunction,Nudo,Tope de tubería,,,,,
Containment,StructureBoundary,Límite de estación de bombeo de agua,Estación de bombeo,,WaterJunction,Nudo,Acoplamiento,,,,,
Containment,StructureBoundary,Límite de estación de bombeo de agua,Estación de bombeo,,WaterJunction,Nudo,Cruz,,,,,
Containment,StructureBoundary,Límite de estación de bombeo de agua,Estación de bombeo,,WaterJunction,Nudo,Codo,,,,,
Containment,StructureBoundary,Límite de estación de bombeo de agua,Estación de bombeo,,WaterJunction,Nudo,Tapa de extremo,,,,,
Containment,StructureBoundary,Límite de estación de bombeo de agua,Estación de bombeo,,WaterJunction,Nudo,Junta de expansión,,,,,
Containment,StructureBoundary,Límite de estación de bombeo de agua,Estación de bombeo,,WaterJunction,Nudo,Brida,,,,,
Containment,StructureBoundary,Límite de estación de bombeo de agua,Estación de bombeo,,WaterJunction,Nudo,Tapón,,,,,
Containment,StructureBoundary,Límite de estación de bombeo de agua,Estación de bombeo,,WaterJunction,Nudo,Reductor,,,,,
Containment,StructureBoundary,Límite de estación de bombeo de agua,Estación de bombeo,,WaterJunction,Nudo,Cruz con reducción,,,,,
